Algorithm, Stable, Sorted, Size, Complexity, DegreeSorted
HeapSort,false,true,500,6746,PARTIALLY_SORTED
HeapSort,false,true,1000,32984,PARTIALLY_SORTED
HeapSort,false,true,1500,65222,PARTIALLY_SORTED
HeapSort,false,true,2000,103460,PARTIALLY_SORTED
HeapSort,false,true,2500,147698,PARTIALLY_SORTED
HeapSort,false,true,3000,197936,PARTIALLY_SORTED
HeapSort,false,true,3500,254174,PARTIALLY_SORTED
HeapSort,false,true,4000,316412,PARTIALLY_SORTED
HeapSort,false,true,4500,384650,PARTIALLY_SORTED
HeapSort,false,true,5000,458888,PARTIALLY_SORTED
HeapSort,false,true,5500,539126,PARTIALLY_SORTED
HeapSort,false,true,6000,625364,PARTIALLY_SORTED
HeapSort,false,true,6500,717602,PARTIALLY_SORTED
HeapSort,false,true,7000,815840,PARTIALLY_SORTED
HeapSort,false,true,7500,920078,PARTIALLY_SORTED
HeapSort,false,true,8000,1030316,PARTIALLY_SORTED
HeapSort,false,true,8500,1146554,PARTIALLY_SORTED
HeapSort,false,true,9000,1268792,PARTIALLY_SORTED
HeapSort,false,true,9500,1397030,PARTIALLY_SORTED
HeapSort,false,true,10000,1531268,PARTIALLY_SORTED
HeapSort,false,true,10500,1671506,PARTIALLY_SORTED
HeapSort,false,true,11000,1817744,PARTIALLY_SORTED
HeapSort,false,true,11500,1969982,PARTIALLY_SORTED
HeapSort,false,true,12000,2128220,PARTIALLY_SORTED
HeapSort,false,true,12500,2292458,PARTIALLY_SORTED
HeapSort,false,true,13000,2462696,PARTIALLY_SORTED
HeapSort,false,true,13500,2638934,PARTIALLY_SORTED
HeapSort,false,true,14000,2821172,PARTIALLY_SORTED
HeapSort,false,true,14500,3009410,PARTIALLY_SORTED
HeapSort,false,true,15000,3203648,PARTIALLY_SORTED
HeapSort,false,true,15500,3403886,PARTIALLY_SORTED
HeapSort,false,true,16000,3610124,PARTIALLY_SORTED
HeapSort,false,true,16500,3822362,PARTIALLY_SORTED
HeapSort,false,true,17000,4040600,PARTIALLY_SORTED
HeapSort,false,true,17500,4264838,PARTIALLY_SORTED
HeapSort,false,true,18000,4495076,PARTIALLY_SORTED
HeapSort,false,true,18500,4731314,PARTIALLY_SORTED
HeapSort,false,true,19000,4973552,PARTIALLY_SORTED
HeapSort,false,true,19500,5221790,PARTIALLY_SORTED
HeapSort,false,true,20000,5476028,PARTIALLY_SORTED
HeapSort,false,true,20500,5736266,PARTIALLY_SORTED
HeapSort,false,true,21000,6002504,PARTIALLY_SORTED
HeapSort,false,true,21500,6274742,PARTIALLY_SORTED
HeapSort,false,true,22000,6552980,PARTIALLY_SORTED
HeapSort,false,true,22500,6837218,PARTIALLY_SORTED
HeapSort,false,true,23000,7127456,PARTIALLY_SORTED
HeapSort,false,true,23500,7423694,PARTIALLY_SORTED
HeapSort,false,true,24000,7725932,PARTIALLY_SORTED
HeapSort,false,true,24500,8034170,PARTIALLY_SORTED
HeapSort,false,true,25000,8348408,PARTIALLY_SORTED
HeapSort,false,true,25500,8668646,PARTIALLY_SORTED
HeapSort,false,true,26000,8994884,PARTIALLY_SORTED
HeapSort,false,true,26500,9327122,PARTIALLY_SORTED
HeapSort,false,true,27000,9665360,PARTIALLY_SORTED
HeapSort,false,true,27500,10009598,PARTIALLY_SORTED
HeapSort,false,true,28000,10359836,PARTIALLY_SORTED
HeapSort,false,true,28500,10716074,PARTIALLY_SORTED
HeapSort,false,true,29000,11078312,PARTIALLY_SORTED
HeapSort,false,true,29500,11446550,PARTIALLY_SORTED
HeapSort,false,true,30000,11820788,PARTIALLY_SORTED
HeapSort,false,true,30500,12201026,PARTIALLY_SORTED
HeapSort,false,true,31000,12587264,PARTIALLY_SORTED
HeapSort,false,true,31500,12979502,PARTIALLY_SORTED
HeapSort,false,true,32000,13377740,PARTIALLY_SORTED
HeapSort,false,true,32500,13781978,PARTIALLY_SORTED
HeapSort,false,true,33000,14192216,PARTIALLY_SORTED
HeapSort,false,true,33500,14608454,PARTIALLY_SORTED
HeapSort,false,true,34000,15030692,PARTIALLY_SORTED
HeapSort,false,true,34500,15458930,PARTIALLY_SORTED
HeapSort,false,true,35000,15893168,PARTIALLY_SORTED
HeapSort,false,true,35500,16333406,PARTIALLY_SORTED
HeapSort,false,true,36000,16779644,PARTIALLY_SORTED
HeapSort,false,true,36500,17231882,PARTIALLY_SORTED
HeapSort,false,true,37000,17690120,PARTIALLY_SORTED
HeapSort,false,true,37500,18154358,PARTIALLY_SORTED
HeapSort,false,true,38000,18624596,PARTIALLY_SORTED
HeapSort,false,true,38500,19100834,PARTIALLY_SORTED
HeapSort,false,true,39000,19583072,PARTIALLY_SORTED
HeapSort,false,true,39500,20071310,PARTIALLY_SORTED
HeapSort,false,true,40000,20565548,PARTIALLY_SORTED
HeapSort,false,true,40500,21065786,PARTIALLY_SORTED
HeapSort,false,true,41000,21572024,PARTIALLY_SORTED
HeapSort,false,true,41500,22084262,PARTIALLY_SORTED
HeapSort,false,true,42000,22602500,PARTIALLY_SORTED
HeapSort,false,true,42500,23126738,PARTIALLY_SORTED
HeapSort,false,true,43000,23656976,PARTIALLY_SORTED
HeapSort,false,true,43500,24193214,PARTIALLY_SORTED
HeapSort,false,true,44000,24735452,PARTIALLY_SORTED
HeapSort,false,true,44500,25283690,PARTIALLY_SORTED
HeapSort,false,true,45000,25837928,PARTIALLY_SORTED
HeapSort,false,true,45500,26398166,PARTIALLY_SORTED
HeapSort,false,true,46000,26964404,PARTIALLY_SORTED
HeapSort,false,true,46500,27536642,PARTIALLY_SORTED
HeapSort,false,true,47000,28114880,PARTIALLY_SORTED
HeapSort,false,true,47500,28699118,PARTIALLY_SORTED
HeapSort,false,true,48000,29289356,PARTIALLY_SORTED
HeapSort,false,true,48500,29885594,PARTIALLY_SORTED
HeapSort,false,true,49000,30487832,PARTIALLY_SORTED
HeapSort,false,true,49500,31096070,PARTIALLY_SORTED
HeapSort,false,true,50000,31710308,PARTIALLY_SORTED
HeapSort,false,true,50500,32330546,PARTIALLY_SORTED
HeapSort,false,true,51000,32956784,PARTIALLY_SORTED
HeapSort,false,true,51500,33589022,PARTIALLY_SORTED
HeapSort,false,true,52000,34227260,PARTIALLY_SORTED
HeapSort,false,true,52500,34871498,PARTIALLY_SORTED
HeapSort,false,true,53000,35521736,PARTIALLY_SORTED
HeapSort,false,true,53500,36177974,PARTIALLY_SORTED
HeapSort,false,true,54000,36840212,PARTIALLY_SORTED
