Algorithm, Stable, Sorted, Size, Complexity, DegreeSorted
HeapSort,false,true,500,12743,PARTIALLY_UNSORTED
HeapSort,false,true,1000,40481,PARTIALLY_UNSORTED
HeapSort,false,true,1500,74219,PARTIALLY_UNSORTED
HeapSort,false,true,2000,113957,PARTIALLY_UNSORTED
HeapSort,false,true,2500,159695,PARTIALLY_UNSORTED
HeapSort,false,true,3000,211433,PARTIALLY_UNSORTED
HeapSort,false,true,3500,269171,PARTIALLY_UNSORTED
HeapSort,false,true,4000,332909,PARTIALLY_UNSORTED
HeapSort,false,true,4500,402647,PARTIALLY_UNSORTED
HeapSort,false,true,5000,478385,PARTIALLY_UNSORTED
HeapSort,false,true,5500,560123,PARTIALLY_UNSORTED
HeapSort,false,true,6000,647861,PARTIALLY_UNSORTED
HeapSort,false,true,6500,741599,PARTIALLY_UNSORTED
HeapSort,false,true,7000,841337,PARTIALLY_UNSORTED
HeapSort,false,true,7500,947075,PARTIALLY_UNSORTED
HeapSort,false,true,8000,1058813,PARTIALLY_UNSORTED
HeapSort,false,true,8500,1176551,PARTIALLY_UNSORTED
HeapSort,false,true,9000,1300289,PARTIALLY_UNSORTED
HeapSort,false,true,9500,1430027,PARTIALLY_UNSORTED
HeapSort,false,true,10000,1565765,PARTIALLY_UNSORTED
HeapSort,false,true,10500,1707503,PARTIALLY_UNSORTED
HeapSort,false,true,11000,1855241,PARTIALLY_UNSORTED
HeapSort,false,true,11500,2008979,PARTIALLY_UNSORTED
HeapSort,false,true,12000,2168717,PARTIALLY_UNSORTED
HeapSort,false,true,12500,2334455,PARTIALLY_UNSORTED
HeapSort,false,true,13000,2506193,PARTIALLY_UNSORTED
HeapSort,false,true,13500,2683931,PARTIALLY_UNSORTED
HeapSort,false,true,14000,2867669,PARTIALLY_UNSORTED
HeapSort,false,true,14500,3057407,PARTIALLY_UNSORTED
HeapSort,false,true,15000,3253145,PARTIALLY_UNSORTED
HeapSort,false,true,15500,3454883,PARTIALLY_UNSORTED
HeapSort,false,true,16000,3662621,PARTIALLY_UNSORTED
HeapSort,false,true,16500,3876359,PARTIALLY_UNSORTED
HeapSort,false,true,17000,4096097,PARTIALLY_UNSORTED
HeapSort,false,true,17500,4321835,PARTIALLY_UNSORTED
HeapSort,false,true,18000,4553573,PARTIALLY_UNSORTED
HeapSort,false,true,18500,4791311,PARTIALLY_UNSORTED
HeapSort,false,true,19000,5035049,PARTIALLY_UNSORTED
HeapSort,false,true,19500,5284787,PARTIALLY_UNSORTED
HeapSort,false,true,20000,5540525,PARTIALLY_UNSORTED
HeapSort,false,true,20500,5802263,PARTIALLY_UNSORTED
HeapSort,false,true,21000,6070001,PARTIALLY_UNSORTED
HeapSort,false,true,21500,6343739,PARTIALLY_UNSORTED
HeapSort,false,true,22000,6623477,PARTIALLY_UNSORTED
HeapSort,false,true,22500,6909215,PARTIALLY_UNSORTED
HeapSort,false,true,23000,7200953,PARTIALLY_UNSORTED
HeapSort,false,true,23500,7498691,PARTIALLY_UNSORTED
HeapSort,false,true,24000,7802429,PARTIALLY_UNSORTED
HeapSort,false,true,24500,8112167,PARTIALLY_UNSORTED
HeapSort,false,true,25000,8427905,PARTIALLY_UNSORTED
HeapSort,false,true,25500,8749643,PARTIALLY_UNSORTED
HeapSort,false,true,26000,9077381,PARTIALLY_UNSORTED
HeapSort,false,true,26500,9411119,PARTIALLY_UNSORTED
HeapSort,false,true,27000,9750857,PARTIALLY_UNSORTED
HeapSort,false,true,27500,10096595,PARTIALLY_UNSORTED
HeapSort,false,true,28000,10448333,PARTIALLY_UNSORTED
HeapSort,false,true,28500,10806071,PARTIALLY_UNSORTED
HeapSort,false,true,29000,11169809,PARTIALLY_UNSORTED
HeapSort,false,true,29500,11539547,PARTIALLY_UNSORTED
HeapSort,false,true,30000,11915285,PARTIALLY_UNSORTED
HeapSort,false,true,30500,12297023,PARTIALLY_UNSORTED
HeapSort,false,true,31000,12684761,PARTIALLY_UNSORTED
HeapSort,false,true,31500,13078499,PARTIALLY_UNSORTED
HeapSort,false,true,32000,13478237,PARTIALLY_UNSORTED
HeapSort,false,true,32500,13883975,PARTIALLY_UNSORTED
HeapSort,false,true,33000,14295713,PARTIALLY_UNSORTED
HeapSort,false,true,33500,14713451,PARTIALLY_UNSORTED
HeapSort,false,true,34000,15137189,PARTIALLY_UNSORTED
HeapSort,false,true,34500,15566927,PARTIALLY_UNSORTED
HeapSort,false,true,35000,16002665,PARTIALLY_UNSORTED
HeapSort,false,true,35500,16444403,PARTIALLY_UNSORTED
HeapSort,false,true,36000,16892141,PARTIALLY_UNSORTED
HeapSort,false,true,36500,17345879,PARTIALLY_UNSORTED
HeapSort,false,true,37000,17805617,PARTIALLY_UNSORTED
HeapSort,false,true,37500,18271355,PARTIALLY_UNSORTED
HeapSort,false,true,38000,18743093,PARTIALLY_UNSORTED
HeapSort,false,true,38500,19220831,PARTIALLY_UNSORTED
HeapSort,false,true,39000,19704569,PARTIALLY_UNSORTED
HeapSort,false,true,39500,20194307,PARTIALLY_UNSORTED
HeapSort,false,true,40000,20690045,PARTIALLY_UNSORTED
HeapSort,false,true,40500,21191783,PARTIALLY_UNSORTED
HeapSort,false,true,41000,21699521,PARTIALLY_UNSORTED
HeapSort,false,true,41500,22213259,PARTIALLY_UNSORTED
HeapSort,false,true,42000,22732997,PARTIALLY_UNSORTED
HeapSort,false,true,42500,23258735,PARTIALLY_UNSORTED
HeapSort,false,true,43000,23790473,PARTIALLY_UNSORTED
HeapSort,false,true,43500,24328211,PARTIALLY_UNSORTED
HeapSort,false,true,44000,24871949,PARTIALLY_UNSORTED
HeapSort,false,true,44500,25421687,PARTIALLY_UNSORTED
HeapSort,false,true,45000,25977425,PARTIALLY_UNSORTED
HeapSort,false,true,45500,26539163,PARTIALLY_UNSORTED
HeapSort,false,true,46000,27106901,PARTIALLY_UNSORTED
HeapSort,false,true,46500,27680639,PARTIALLY_UNSORTED
HeapSort,false,true,47000,28260377,PARTIALLY_UNSORTED
HeapSort,false,true,47500,28846115,PARTIALLY_UNSORTED
HeapSort,false,true,48000,29437853,PARTIALLY_UNSORTED
HeapSort,false,true,48500,30035591,PARTIALLY_UNSORTED
HeapSort,false,true,49000,30639329,PARTIALLY_UNSORTED
HeapSort,false,true,49500,31249067,PARTIALLY_UNSORTED
HeapSort,false,true,50000,31864805,PARTIALLY_UNSORTED
HeapSort,false,true,50500,32486543,PARTIALLY_UNSORTED
HeapSort,false,true,51000,33114281,PARTIALLY_UNSORTED
HeapSort,false,true,51500,33748019,PARTIALLY_UNSORTED
HeapSort,false,true,52000,34387757,PARTIALLY_UNSORTED
HeapSort,false,true,52500,35033495,PARTIALLY_UNSORTED
HeapSort,false,true,53000,35685233,PARTIALLY_UNSORTED
HeapSort,false,true,53500,36342971,PARTIALLY_UNSORTED
HeapSort,false,true,54000,37006709,PARTIALLY_UNSORTED
HeapSort,false,true,54500,37676447,PARTIALLY_UNSORTED
HeapSort,false,true,55000,38352185,PARTIALLY_UNSORTED
HeapSort,false,true,55500,39033923,PARTIALLY_UNSORTED
HeapSort,false,true,56000,39721661,PARTIALLY_UNSORTED
HeapSort,false,true,56500,40415399,PARTIALLY_UNSORTED
HeapSort,false,true,57000,41115137,PARTIALLY_UNSORTED
HeapSort,false,true,57500,41820875,PARTIALLY_UNSORTED
HeapSort,false,true,58000,42532613,PARTIALLY_UNSORTED
HeapSort,false,true,58500,43250351,PARTIALLY_UNSORTED
HeapSort,false,true,59000,43974089,PARTIALLY_UNSORTED
HeapSort,false,true,59500,44703827,PARTIALLY_UNSORTED
HeapSort,false,true,60000,45439565,PARTIALLY_UNSORTED
