Algorithm, Stable, Sorted, Size, Complexity, DegreeSorted
HeapSort,false,true,500,749,SORTED
HeapSort,false,true,1000,25487,SORTED
HeapSort,false,true,1500,56225,SORTED
HeapSort,false,true,2000,92963,SORTED
HeapSort,false,true,2500,135701,SORTED
HeapSort,false,true,3000,184439,SORTED
HeapSort,false,true,3500,239177,SORTED
HeapSort,false,true,4000,299915,SORTED
HeapSort,false,true,4500,366653,SORTED
HeapSort,false,true,5000,439391,SORTED
HeapSort,false,true,5500,518129,SORTED
HeapSort,false,true,6000,602867,SORTED
HeapSort,false,true,6500,693605,SORTED
HeapSort,false,true,7000,790343,SORTED
HeapSort,false,true,7500,893081,SORTED
HeapSort,false,true,8000,1001819,SORTED
HeapSort,false,true,8500,1116557,SORTED
HeapSort,false,true,9000,1237295,SORTED
HeapSort,false,true,9500,1364033,SORTED
HeapSort,false,true,10000,1496771,SORTED
HeapSort,false,true,10500,1635509,SORTED
HeapSort,false,true,11000,1780247,SORTED
HeapSort,false,true,11500,1930985,SORTED
HeapSort,false,true,12000,2087723,SORTED
HeapSort,false,true,12500,2250461,SORTED
HeapSort,false,true,13000,2419199,SORTED
HeapSort,false,true,13500,2593937,SORTED
HeapSort,false,true,14000,2774675,SORTED
HeapSort,false,true,14500,2961413,SORTED
HeapSort,false,true,15000,3154151,SORTED
HeapSort,false,true,15500,3352889,SORTED
HeapSort,false,true,16000,3557627,SORTED
HeapSort,false,true,16500,3768365,SORTED
HeapSort,false,true,17000,3985103,SORTED
HeapSort,false,true,17500,4207841,SORTED
HeapSort,false,true,18000,4436579,SORTED
HeapSort,false,true,18500,4671317,SORTED
HeapSort,false,true,19000,4912055,SORTED
HeapSort,false,true,19500,5158793,SORTED
HeapSort,false,true,20000,5411531,SORTED
HeapSort,false,true,20500,5670269,SORTED
HeapSort,false,true,21000,5935007,SORTED
HeapSort,false,true,21500,6205745,SORTED
HeapSort,false,true,22000,6482483,SORTED
HeapSort,false,true,22500,6765221,SORTED
HeapSort,false,true,23000,7053959,SORTED
HeapSort,false,true,23500,7348697,SORTED
HeapSort,false,true,24000,7649435,SORTED
HeapSort,false,true,24500,7956173,SORTED
HeapSort,false,true,25000,8268911,SORTED
HeapSort,false,true,25500,8587649,SORTED
HeapSort,false,true,26000,8912387,SORTED
HeapSort,false,true,26500,9243125,SORTED
HeapSort,false,true,27000,9579863,SORTED
HeapSort,false,true,27500,9922601,SORTED
HeapSort,false,true,28000,10271339,SORTED
HeapSort,false,true,28500,10626077,SORTED
HeapSort,false,true,29000,10986815,SORTED
