Algorithm, Stable, Sorted, Size, Complexity, DegreeSorted
HeapSort,false,true,500,18740,UNSORTED
HeapSort,false,true,1000,47978,UNSORTED
HeapSort,false,true,1500,83216,UNSORTED
HeapSort,false,true,2000,124454,UNSORTED
HeapSort,false,true,2500,171692,UNSORTED
HeapSort,false,true,3000,224930,UNSORTED
HeapSort,false,true,3500,284168,UNSORTED
HeapSort,false,true,4000,349406,UNSORTED
HeapSort,false,true,4500,420644,UNSORTED
HeapSort,false,true,5000,497882,UNSORTED
HeapSort,false,true,5500,581120,UNSORTED
HeapSort,false,true,6000,670358,UNSORTED
HeapSort,false,true,6500,765596,UNSORTED
HeapSort,false,true,7000,866834,UNSORTED
HeapSort,false,true,7500,974072,UNSORTED
HeapSort,false,true,8000,1087310,UNSORTED
HeapSort,false,true,8500,1206548,UNSORTED
HeapSort,false,true,9000,1331786,UNSORTED
HeapSort,false,true,9500,1463024,UNSORTED
HeapSort,false,true,10000,1600262,UNSORTED
HeapSort,false,true,10500,1743500,UNSORTED
HeapSort,false,true,11000,1892738,UNSORTED
HeapSort,false,true,11500,2047976,UNSORTED
HeapSort,false,true,12000,2209214,UNSORTED
HeapSort,false,true,12500,2376452,UNSORTED
HeapSort,false,true,13000,2549690,UNSORTED
HeapSort,false,true,13500,2728928,UNSORTED
HeapSort,false,true,14000,2914166,UNSORTED
HeapSort,false,true,14500,3105404,UNSORTED
HeapSort,false,true,15000,3302642,UNSORTED
HeapSort,false,true,15500,3505880,UNSORTED
HeapSort,false,true,16000,3715118,UNSORTED
HeapSort,false,true,16500,3930356,UNSORTED
HeapSort,false,true,17000,4151594,UNSORTED
HeapSort,false,true,17500,4378832,UNSORTED
HeapSort,false,true,18000,4612070,UNSORTED
HeapSort,false,true,18500,4851308,UNSORTED
HeapSort,false,true,19000,5096546,UNSORTED
HeapSort,false,true,19500,5347784,UNSORTED
HeapSort,false,true,20000,5605022,UNSORTED
HeapSort,false,true,20500,5868260,UNSORTED
HeapSort,false,true,21000,6137498,UNSORTED
HeapSort,false,true,21500,6412736,UNSORTED
HeapSort,false,true,22000,6693974,UNSORTED
HeapSort,false,true,22500,6981212,UNSORTED
HeapSort,false,true,23000,7274450,UNSORTED
HeapSort,false,true,23500,7573688,UNSORTED
HeapSort,false,true,24000,7878926,UNSORTED
HeapSort,false,true,24500,8190164,UNSORTED
HeapSort,false,true,25000,8507402,UNSORTED
HeapSort,false,true,25500,8830640,UNSORTED
HeapSort,false,true,26000,9159878,UNSORTED
HeapSort,false,true,26500,9495116,UNSORTED
HeapSort,false,true,27000,9836354,UNSORTED
HeapSort,false,true,27500,10183592,UNSORTED
HeapSort,false,true,28000,10536830,UNSORTED
HeapSort,false,true,28500,10896068,UNSORTED
HeapSort,false,true,29000,11261306,UNSORTED
HeapSort,false,true,29500,11632544,UNSORTED
HeapSort,false,true,30000,12009782,UNSORTED
HeapSort,false,true,30500,12393020,UNSORTED
HeapSort,false,true,31000,12782258,UNSORTED
HeapSort,false,true,31500,13177496,UNSORTED
HeapSort,false,true,32000,13578734,UNSORTED
HeapSort,false,true,32500,13985972,UNSORTED
HeapSort,false,true,33000,14399210,UNSORTED
HeapSort,false,true,33500,14818448,UNSORTED
HeapSort,false,true,34000,15243686,UNSORTED
HeapSort,false,true,34500,15674924,UNSORTED
HeapSort,false,true,35000,16112162,UNSORTED
HeapSort,false,true,35500,16555400,UNSORTED
HeapSort,false,true,36000,17004638,UNSORTED
HeapSort,false,true,36500,17459876,UNSORTED
HeapSort,false,true,37000,17921114,UNSORTED
HeapSort,false,true,37500,18388352,UNSORTED
HeapSort,false,true,38000,18861590,UNSORTED
HeapSort,false,true,38500,19340828,UNSORTED
HeapSort,false,true,39000,19826066,UNSORTED
HeapSort,false,true,39500,20317304,UNSORTED
HeapSort,false,true,40000,20814542,UNSORTED
HeapSort,false,true,40500,21317780,UNSORTED
HeapSort,false,true,41000,21827018,UNSORTED
HeapSort,false,true,41500,22342256,UNSORTED
HeapSort,false,true,42000,22863494,UNSORTED
HeapSort,false,true,42500,23390732,UNSORTED
HeapSort,false,true,43000,23923970,UNSORTED
HeapSort,false,true,43500,24463208,UNSORTED
HeapSort,false,true,44000,25008446,UNSORTED
HeapSort,false,true,44500,25559684,UNSORTED
HeapSort,false,true,45000,26116922,UNSORTED
HeapSort,false,true,45500,26680160,UNSORTED
HeapSort,false,true,46000,27249398,UNSORTED
HeapSort,false,true,46500,27824636,UNSORTED
HeapSort,false,true,47000,28405874,UNSORTED
HeapSort,false,true,47500,28993112,UNSORTED
HeapSort,false,true,48000,29586350,UNSORTED
HeapSort,false,true,48500,30185588,UNSORTED
HeapSort,false,true,49000,30790826,UNSORTED
HeapSort,false,true,49500,31402064,UNSORTED
HeapSort,false,true,50000,32019302,UNSORTED
HeapSort,false,true,50500,32642540,UNSORTED
HeapSort,false,true,51000,33271778,UNSORTED
HeapSort,false,true,51500,33907016,UNSORTED
HeapSort,false,true,52000,34548254,UNSORTED
HeapSort,false,true,52500,35195492,UNSORTED
HeapSort,false,true,53000,35848730,UNSORTED
HeapSort,false,true,53500,36507968,UNSORTED
HeapSort,false,true,54000,37173206,UNSORTED
HeapSort,false,true,54500,37844444,UNSORTED
HeapSort,false,true,55000,38521682,UNSORTED
HeapSort,false,true,55500,39204920,UNSORTED
HeapSort,false,true,56000,39894158,UNSORTED
