Algorithm, Stable, Sorted, Size, Complexity, DegreeSorted
QuickSort,false,true,500,14428,PARTIALLY_SORTED
QuickSort,false,true,1000,71108,PARTIALLY_SORTED
QuickSort,false,true,1500,140451,PARTIALLY_SORTED
QuickSort,false,true,2000,222294,PARTIALLY_SORTED
QuickSort,false,true,2500,316868,PARTIALLY_SORTED
QuickSort,false,true,3000,424042,PARTIALLY_SORTED
QuickSort,false,true,3500,543786,PARTIALLY_SORTED
QuickSort,false,true,4000,676020,PARTIALLY_SORTED
QuickSort,false,true,4500,820907,PARTIALLY_SORTED
QuickSort,false,true,5000,978442,PARTIALLY_SORTED
QuickSort,false,true,5500,1148839,PARTIALLY_SORTED
QuickSort,false,true,6000,1331840,PARTIALLY_SORTED
QuickSort,false,true,6500,1527247,PARTIALLY_SORTED
QuickSort,false,true,7000,1735148,PARTIALLY_SORTED
QuickSort,false,true,7500,1955610,PARTIALLY_SORTED
QuickSort,false,true,8000,2188830,PARTIALLY_SORTED
QuickSort,false,true,8500,2434485,PARTIALLY_SORTED
QuickSort,false,true,9000,2692782,PARTIALLY_SORTED
QuickSort,false,true,9500,2964025,PARTIALLY_SORTED
QuickSort,false,true,10000,3247846,PARTIALLY_SORTED
QuickSort,false,true,10500,3544446,PARTIALLY_SORTED
QuickSort,false,true,11000,3853926,PARTIALLY_SORTED
QuickSort,false,true,11500,4175873,PARTIALLY_SORTED
QuickSort,false,true,12000,4510266,PARTIALLY_SORTED
QuickSort,false,true,12500,4856997,PARTIALLY_SORTED
QuickSort,false,true,13000,5216200,PARTIALLY_SORTED
QuickSort,false,true,13500,5588179,PARTIALLY_SORTED
QuickSort,false,true,14000,5972692,PARTIALLY_SORTED
QuickSort,false,true,14500,6369376,PARTIALLY_SORTED
QuickSort,false,true,15000,6778886,PARTIALLY_SORTED
QuickSort,false,true,15500,7200890,PARTIALLY_SORTED
QuickSort,false,true,16000,7635240,PARTIALLY_SORTED
QuickSort,false,true,16500,8082441,PARTIALLY_SORTED
QuickSort,false,true,17000,8541730,PARTIALLY_SORTED
QuickSort,false,true,17500,9014151,PARTIALLY_SORTED
QuickSort,false,true,18000,9499256,PARTIALLY_SORTED
QuickSort,false,true,18500,9996923,PARTIALLY_SORTED
QuickSort,false,true,19000,10507656,PARTIALLY_SORTED
QuickSort,false,true,19500,11031336,PARTIALLY_SORTED
QuickSort,false,true,20000,11567468,PARTIALLY_SORTED
QuickSort,false,true,20500,12116266,PARTIALLY_SORTED
QuickSort,false,true,21000,12677464,PARTIALLY_SORTED
QuickSort,false,true,21500,13251920,PARTIALLY_SORTED
QuickSort,false,true,22000,13839534,PARTIALLY_SORTED
QuickSort,false,true,22500,14439391,PARTIALLY_SORTED
QuickSort,false,true,23000,15051640,PARTIALLY_SORTED
QuickSort,false,true,23500,15676319,PARTIALLY_SORTED
QuickSort,false,true,24000,16312930,PARTIALLY_SORTED
QuickSort,false,true,24500,16961801,PARTIALLY_SORTED
QuickSort,false,true,25000,17623400,PARTIALLY_SORTED
QuickSort,false,true,25500,18297457,PARTIALLY_SORTED
QuickSort,false,true,26000,18984270,PARTIALLY_SORTED
QuickSort,false,true,26500,19683971,PARTIALLY_SORTED
QuickSort,false,true,27000,20396654,PARTIALLY_SORTED
QuickSort,false,true,27500,21121822,PARTIALLY_SORTED
QuickSort,false,true,28000,21859250,PARTIALLY_SORTED
QuickSort,false,true,28500,22608570,PARTIALLY_SORTED
QuickSort,false,true,29000,23370482,PARTIALLY_SORTED
QuickSort,false,true,29500,24144926,PARTIALLY_SORTED
QuickSort,false,true,30000,24932352,PARTIALLY_SORTED
QuickSort,false,true,30500,25732430,PARTIALLY_SORTED
QuickSort,false,true,31000,26544414,PARTIALLY_SORTED
QuickSort,false,true,31500,27369038,PARTIALLY_SORTED
QuickSort,false,true,32000,28206506,PARTIALLY_SORTED
QuickSort,false,true,32500,29056492,PARTIALLY_SORTED
QuickSort,false,true,33000,29918448,PARTIALLY_SORTED
QuickSort,false,true,33500,30793699,PARTIALLY_SORTED
QuickSort,false,true,34000,31681672,PARTIALLY_SORTED
QuickSort,false,true,34500,32582541,PARTIALLY_SORTED
QuickSort,false,true,35000,33495532,PARTIALLY_SORTED
QuickSort,false,true,35500,34421737,PARTIALLY_SORTED
QuickSort,false,true,36000,35360888,PARTIALLY_SORTED
QuickSort,false,true,36500,36312375,PARTIALLY_SORTED
QuickSort,false,true,37000,37276264,PARTIALLY_SORTED
QuickSort,false,true,37500,38253083,PARTIALLY_SORTED
QuickSort,false,true,38000,39243536,PARTIALLY_SORTED
QuickSort,false,true,38500,40246774,PARTIALLY_SORTED
