Algorithm, Stable, Sorted, Size, Complexity, DegreeSorted
QuickSort,false,true,500,27359,PARTIALLY_UNSORTED
QuickSort,false,true,1000,87079,PARTIALLY_UNSORTED
QuickSort,false,true,1500,159479,PARTIALLY_UNSORTED
QuickSort,false,true,2000,244345,PARTIALLY_UNSORTED
QuickSort,false,true,2500,342015,PARTIALLY_UNSORTED
QuickSort,false,true,3000,452207,PARTIALLY_UNSORTED
QuickSort,false,true,3500,574975,PARTIALLY_UNSORTED
QuickSort,false,true,4000,710231,PARTIALLY_UNSORTED
QuickSort,false,true,4500,858209,PARTIALLY_UNSORTED
QuickSort,false,true,5000,1018845,PARTIALLY_UNSORTED
QuickSort,false,true,5500,1192403,PARTIALLY_UNSORTED
QuickSort,false,true,6000,1378279,PARTIALLY_UNSORTED
QuickSort,false,true,6500,1576739,PARTIALLY_UNSORTED
QuickSort,false,true,7000,1787635,PARTIALLY_UNSORTED
QuickSort,false,true,7500,2011179,PARTIALLY_UNSORTED
QuickSort,false,true,8000,2247361,PARTIALLY_UNSORTED
QuickSort,false,true,8500,2496069,PARTIALLY_UNSORTED
QuickSort,false,true,9000,2757495,PARTIALLY_UNSORTED
QuickSort,false,true,9500,3031897,PARTIALLY_UNSORTED
QuickSort,false,true,10000,3318761,PARTIALLY_UNSORTED
QuickSort,false,true,10500,3618491,PARTIALLY_UNSORTED
QuickSort,false,true,11000,3931163,PARTIALLY_UNSORTED
QuickSort,false,true,11500,4255985,PARTIALLY_UNSORTED
QuickSort,false,true,12000,4593253,PARTIALLY_UNSORTED
QuickSort,false,true,12500,4942965,PARTIALLY_UNSORTED
QuickSort,false,true,13000,5305293,PARTIALLY_UNSORTED
QuickSort,false,true,13500,5680397,PARTIALLY_UNSORTED
QuickSort,false,true,14000,6067775,PARTIALLY_UNSORTED
QuickSort,false,true,14500,6467373,PARTIALLY_UNSORTED
QuickSort,false,true,15000,6880133,PARTIALLY_UNSORTED
QuickSort,false,true,15500,7304945,PARTIALLY_UNSORTED
QuickSort,false,true,16000,7742411,PARTIALLY_UNSORTED
QuickSort,false,true,16500,8192481,PARTIALLY_UNSORTED
QuickSort,false,true,17000,8655007,PARTIALLY_UNSORTED
QuickSort,false,true,17500,9130437,PARTIALLY_UNSORTED
QuickSort,false,true,18000,9618791,PARTIALLY_UNSORTED
QuickSort,false,true,18500,10119401,PARTIALLY_UNSORTED
QuickSort,false,true,19000,10633509,PARTIALLY_UNSORTED
QuickSort,false,true,19500,11160275,PARTIALLY_UNSORTED
QuickSort,false,true,20000,11699407,PARTIALLY_UNSORTED
QuickSort,false,true,20500,12251215,PARTIALLY_UNSORTED
QuickSort,false,true,21000,12815663,PARTIALLY_UNSORTED
QuickSort,false,true,21500,13393369,PARTIALLY_UNSORTED
QuickSort,false,true,22000,13984117,PARTIALLY_UNSORTED
QuickSort,false,true,22500,14586849,PARTIALLY_UNSORTED
QuickSort,false,true,23000,15201973,PARTIALLY_UNSORTED
QuickSort,false,true,23500,15829527,PARTIALLY_UNSORTED
QuickSort,false,true,24000,16469013,PARTIALLY_UNSORTED
QuickSort,false,true,24500,17120759,PARTIALLY_UNSORTED
QuickSort,false,true,25000,17785445,PARTIALLY_UNSORTED
QuickSort,false,true,25500,18462627,PARTIALLY_UNSORTED
QuickSort,false,true,26000,19152565,PARTIALLY_UNSORTED
QuickSort,false,true,26500,19855391,PARTIALLY_UNSORTED
QuickSort,false,true,27000,20571199,PARTIALLY_UNSORTED
QuickSort,false,true,27500,21299347,PARTIALLY_UNSORTED
QuickSort,false,true,28000,22039525,PARTIALLY_UNSORTED
QuickSort,false,true,28500,22791595,PARTIALLY_UNSORTED
QuickSort,false,true,29000,23556585,PARTIALLY_UNSORTED
QuickSort,false,true,29500,24334279,PARTIALLY_UNSORTED
QuickSort,false,true,30000,25124955,PARTIALLY_UNSORTED
QuickSort,false,true,30500,25927589,PARTIALLY_UNSORTED
QuickSort,false,true,31000,26742633,PARTIALLY_UNSORTED
QuickSort,false,true,31500,27570465,PARTIALLY_UNSORTED
QuickSort,false,true,32000,28410957,PARTIALLY_UNSORTED
QuickSort,false,true,32500,29263527,PARTIALLY_UNSORTED
QuickSort,false,true,33000,30128637,PARTIALLY_UNSORTED
QuickSort,false,true,33500,31007405,PARTIALLY_UNSORTED
QuickSort,false,true,34000,31898335,PARTIALLY_UNSORTED
QuickSort,false,true,34500,32802229,PARTIALLY_UNSORTED
QuickSort,false,true,35000,33718213,PARTIALLY_UNSORTED
QuickSort,false,true,35500,34648041,PARTIALLY_UNSORTED
QuickSort,false,true,36000,35590067,PARTIALLY_UNSORTED
QuickSort,false,true,36500,36544429,PARTIALLY_UNSORTED
QuickSort,false,true,37000,37511329,PARTIALLY_UNSORTED
QuickSort,false,true,37500,38491523,PARTIALLY_UNSORTED
QuickSort,false,true,38000,39485351,PARTIALLY_UNSORTED
QuickSort,false,true,38500,40491761,PARTIALLY_UNSORTED
QuickSort,false,true,39000,41510995,PARTIALLY_UNSORTED
QuickSort,false,true,39500,42542207,PARTIALLY_UNSORTED
QuickSort,false,true,40000,43586087,PARTIALLY_UNSORTED
QuickSort,false,true,40500,44642769,PARTIALLY_UNSORTED
QuickSort,false,true,41000,45711721,PARTIALLY_UNSORTED
QuickSort,false,true,41500,46793935,PARTIALLY_UNSORTED
QuickSort,false,true,42000,47888997,PARTIALLY_UNSORTED
QuickSort,false,true,42500,48997257,PARTIALLY_UNSORTED
QuickSort,false,true,43000,50118075,PARTIALLY_UNSORTED
QuickSort,false,true,43500,51252195,PARTIALLY_UNSORTED
QuickSort,false,true,44000,52398727,PARTIALLY_UNSORTED
QuickSort,false,true,44500,53557319,PARTIALLY_UNSORTED
QuickSort,false,true,45000,54728651,PARTIALLY_UNSORTED
QuickSort,false,true,45500,55912099,PARTIALLY_UNSORTED
QuickSort,false,true,46000,57107831,PARTIALLY_UNSORTED
QuickSort,false,true,46500,58315609,PARTIALLY_UNSORTED
QuickSort,false,true,47000,59535927,PARTIALLY_UNSORTED
QuickSort,false,true,47500,60768709,PARTIALLY_UNSORTED
QuickSort,false,true,48000,62013357,PARTIALLY_UNSORTED
QuickSort,false,true,48500,63270251,PARTIALLY_UNSORTED
QuickSort,false,true,49000,64539525,PARTIALLY_UNSORTED
QuickSort,false,true,49500,65821287,PARTIALLY_UNSORTED
QuickSort,false,true,50000,67115733,PARTIALLY_UNSORTED
QuickSort,false,true,50500,68423119,PARTIALLY_UNSORTED
QuickSort,false,true,51000,69743423,PARTIALLY_UNSORTED
QuickSort,false,true,51500,71076335,PARTIALLY_UNSORTED
QuickSort,false,true,52000,72422117,PARTIALLY_UNSORTED
QuickSort,false,true,52500,73780729,PARTIALLY_UNSORTED
QuickSort,false,true,53000,75151973,PARTIALLY_UNSORTED
QuickSort,false,true,53500,76535741,PARTIALLY_UNSORTED
QuickSort,false,true,54000,77932331,PARTIALLY_UNSORTED
QuickSort,false,true,54500,79341681,PARTIALLY_UNSORTED
QuickSort,false,true,55000,80763011,PARTIALLY_UNSORTED
QuickSort,false,true,55500,82196231,PARTIALLY_UNSORTED
QuickSort,false,true,56000,83641821,PARTIALLY_UNSORTED
QuickSort,false,true,56500,85099169,PARTIALLY_UNSORTED
QuickSort,false,true,57000,86568697,PARTIALLY_UNSORTED
QuickSort,false,true,57500,88050357,PARTIALLY_UNSORTED
QuickSort,false,true,58000,89545361,PARTIALLY_UNSORTED
