Algorithm, Stable, Sorted, Size, Complexity, DegreeSorted
QuickSort,false,true,500,1497,SORTED
QuickSort,false,true,1000,55137,SORTED
QuickSort,false,true,1500,121423,SORTED
QuickSort,false,true,2000,200243,SORTED
QuickSort,false,true,2500,291721,SORTED
QuickSort,false,true,3000,395877,SORTED
QuickSort,false,true,3500,512597,SORTED
QuickSort,false,true,4000,641809,SORTED
QuickSort,false,true,4500,783605,SORTED
QuickSort,false,true,5000,938039,SORTED
QuickSort,false,true,5500,1105275,SORTED
QuickSort,false,true,6000,1285401,SORTED
QuickSort,false,true,6500,1477755,SORTED
QuickSort,false,true,7000,1682661,SORTED
QuickSort,false,true,7500,1900041,SORTED
QuickSort,false,true,8000,2130299,SORTED
QuickSort,false,true,8500,2372901,SORTED
QuickSort,false,true,9000,2628069,SORTED
QuickSort,false,true,9500,2896153,SORTED
QuickSort,false,true,10000,3176931,SORTED
QuickSort,false,true,10500,3470401,SORTED
QuickSort,false,true,11000,3776689,SORTED
QuickSort,false,true,11500,4095761,SORTED
QuickSort,false,true,12000,4427279,SORTED
QuickSort,false,true,12500,4771029,SORTED
QuickSort,false,true,13000,5127107,SORTED
QuickSort,false,true,13500,5495961,SORTED
QuickSort,false,true,14000,5877609,SORTED
QuickSort,false,true,14500,6271379,SORTED
QuickSort,false,true,15000,6677639,SORTED
QuickSort,false,true,15500,7096835,SORTED
QuickSort,false,true,16000,7528069,SORTED
QuickSort,false,true,16500,7972401,SORTED
QuickSort,false,true,17000,8428453,SORTED
QuickSort,false,true,17500,8897865,SORTED
QuickSort,false,true,18000,9379721,SORTED
QuickSort,false,true,18500,9874445,SORTED
QuickSort,false,true,19000,10381803,SORTED
QuickSort,false,true,19500,10902397,SORTED
QuickSort,false,true,20000,11435529,SORTED
QuickSort,false,true,20500,11981317,SORTED
QuickSort,false,true,21000,12539265,SORTED
QuickSort,false,true,21500,13110471,SORTED
QuickSort,false,true,22000,13694951,SORTED
QuickSort,false,true,22500,14291933,SORTED
QuickSort,false,true,23000,14901307,SORTED
QuickSort,false,true,23500,15523111,SORTED
QuickSort,false,true,24000,16156847,SORTED
QuickSort,false,true,24500,16802843,SORTED
QuickSort,false,true,25000,17461355,SORTED
QuickSort,false,true,25500,18132287,SORTED
QuickSort,false,true,26000,18815975,SORTED
QuickSort,false,true,26500,19512551,SORTED
QuickSort,false,true,27000,20222109,SORTED
QuickSort,false,true,27500,20944297,SORTED
QuickSort,false,true,28000,21678975,SORTED
QuickSort,false,true,28500,22425545,SORTED
QuickSort,false,true,29000,23184379,SORTED
QuickSort,false,true,29500,23955573,SORTED
QuickSort,false,true,30000,24739749,SORTED
QuickSort,false,true,30500,25537271,SORTED
QuickSort,false,true,31000,26346195,SORTED
QuickSort,false,true,31500,27167611,SORTED
QuickSort,false,true,32000,28002055,SORTED
QuickSort,false,true,32500,28849457,SORTED
QuickSort,false,true,33000,29708259,SORTED
QuickSort,false,true,33500,30579993,SORTED
QuickSort,false,true,34000,31465009,SORTED
QuickSort,false,true,34500,32362853,SORTED
QuickSort,false,true,35000,33272851,SORTED
QuickSort,false,true,35500,34195433,SORTED
QuickSort,false,true,36000,35131709,SORTED
QuickSort,false,true,36500,36080321,SORTED
QuickSort,false,true,37000,37041199,SORTED
QuickSort,false,true,37500,38014643,SORTED
QuickSort,false,true,38000,39001721,SORTED
QuickSort,false,true,38500,40001787,SORTED
QuickSort,false,true,39000,41015021,SORTED
QuickSort,false,true,39500,42040233,SORTED
QuickSort,false,true,40000,43078113,SORTED
QuickSort,false,true,40500,44128795,SORTED
QuickSort,false,true,41000,45191707,SORTED
QuickSort,false,true,41500,46267421,SORTED
QuickSort,false,true,42000,47355983,SORTED
QuickSort,false,true,42500,48457743,SORTED
QuickSort,false,true,43000,49572061,SORTED
QuickSort,false,true,43500,50699681,SORTED
QuickSort,false,true,44000,51840177,SORTED
QuickSort,false,true,44500,52993019,SORTED
QuickSort,false,true,45000,54158601,SORTED
QuickSort,false,true,45500,55336299,SORTED
QuickSort,false,true,46000,56526281,SORTED
QuickSort,false,true,46500,57728309,SORTED
QuickSort,false,true,47000,58942877,SORTED
QuickSort,false,true,47500,60169909,SORTED
QuickSort,false,true,48000,61408807,SORTED
QuickSort,false,true,48500,62659951,SORTED
QuickSort,false,true,49000,63923475,SORTED
QuickSort,false,true,49500,65199139,SORTED
QuickSort,false,true,50000,66487335,SORTED
QuickSort,false,true,50500,67788471,SORTED
QuickSort,false,true,51000,69102525,SORTED
QuickSort,false,true,51500,70429187,SORTED
QuickSort,false,true,52000,71768719,SORTED
QuickSort,false,true,52500,73121081,SORTED
QuickSort,false,true,53000,74486075,SORTED
QuickSort,false,true,53500,75863593,SORTED
QuickSort,false,true,54000,77253933,SORTED
QuickSort,false,true,54500,78657033,SORTED
QuickSort,false,true,55000,80072693,SORTED
QuickSort,false,true,55500,81500413,SORTED
QuickSort,false,true,56000,82940503,SORTED
QuickSort,false,true,56500,84392351,SORTED
QuickSort,false,true,57000,85856379,SORTED
QuickSort,false,true,57500,87332227,SORTED
QuickSort,false,true,58000,88820731,SORTED
QuickSort,false,true,58500,90322425,SORTED
QuickSort,false,true,59000,91837105,SORTED
QuickSort,false,true,59500,93364367,SORTED
QuickSort,false,true,60000,94904601,SORTED
QuickSort,false,true,60500,96458305,SORTED
QuickSort,false,true,61000,98024089,SORTED
QuickSort,false,true,61500,99600991,SORTED
QuickSort,false,true,62000,101189733,SORTED
QuickSort,false,true,62500,102792065,SORTED
QuickSort,false,true,63000,104407745,SORTED
QuickSort,false,true,63500,106036219,SORTED
QuickSort,false,true,64000,107674729,SORTED
QuickSort,false,true,64500,109328447,SORTED
QuickSort,false,true,65000,110992245,SORTED
QuickSort,false,true,65500,112668761,SORTED
QuickSort,false,true,66000,114358507,SORTED
QuickSort,false,true,66500,116060599,SORTED
QuickSort,false,true,67000,117774845,SORTED
QuickSort,false,true,67500,119504137,SORTED
QuickSort,false,true,68000,121244157,SORTED
QuickSort,false,true,68500,122998745,SORTED
QuickSort,false,true,69000,124766151,SORTED
QuickSort,false,true,69500,126545055,SORTED
QuickSort,false,true,70000,128336271,SORTED
QuickSort,false,true,70500,130141049,SORTED
QuickSort,false,true,71000,131959517,SORTED
QuickSort,false,true,71500,133791443,SORTED
QuickSort,false,true,72000,135635553,SORTED
QuickSort,false,true,72500,137492159,SORTED
QuickSort,false,true,73000,139360511,SORTED
QuickSort,false,true,73500,141241333,SORTED
QuickSort,false,true,74000,143134441,SORTED
QuickSort,false,true,74500,145040265,SORTED
QuickSort,false,true,75000,146959283,SORTED
QuickSort,false,true,75500,148891171,SORTED
QuickSort,false,true,76000,150837053,SORTED
QuickSort,false,true,76500,152796087,SORTED
QuickSort,false,true,77000,154768075,SORTED
QuickSort,false,true,77500,156752773,SORTED
QuickSort,false,true,78000,158750521,SORTED
QuickSort,false,true,78500,160759735,SORTED
QuickSort,false,true,79000,162782239,SORTED
QuickSort,false,true,79500,164816655,SORTED
QuickSort,false,true,80000,166863865,SORTED
QuickSort,false,true,80500,168923919,SORTED
QuickSort,false,true,81000,170996055,SORTED
QuickSort,false,true,81500,173081123,SORTED
QuickSort,false,true,82000,175178465,SORTED
QuickSort,false,true,82500,177288687,SORTED
QuickSort,false,true,83000,179411605,SORTED
QuickSort,false,true,83500,181546963,SORTED
QuickSort,false,true,84000,183695895,SORTED
QuickSort,false,true,84500,185857961,SORTED
QuickSort,false,true,85000,188032711,SORTED
QuickSort,false,true,85500,190221051,SORTED
QuickSort,false,true,86000,192421993,SORTED
QuickSort,false,true,86500,194636147,SORTED
QuickSort,false,true,87000,196863805,SORTED
QuickSort,false,true,87500,199103651,SORTED
QuickSort,false,true,88000,201356431,SORTED
QuickSort,false,true,88500,203622015,SORTED
QuickSort,false,true,89000,205899165,SORTED
QuickSort,false,true,89500,208188627,SORTED
QuickSort,false,true,90000,210490949,SORTED
QuickSort,false,true,90500,212805787,SORTED
QuickSort,false,true,91000,215132051,SORTED
QuickSort,false,true,91500,217470525,SORTED
QuickSort,false,true,92000,219821803,SORTED
QuickSort,false,true,92500,222185195,SORTED
QuickSort,false,true,93000,224561133,SORTED
QuickSort,false,true,93500,226948753,SORTED
QuickSort,false,true,94000,229348619,SORTED
QuickSort,false,true,94500,231761369,SORTED
QuickSort,false,true,95000,234185527,SORTED
QuickSort,false,true,95500,236622491,SORTED
QuickSort,false,true,96000,239072471,SORTED
QuickSort,false,true,96500,241534189,SORTED
QuickSort,false,true,97000,244008033,SORTED
QuickSort,false,true,97500,246493909,SORTED
QuickSort,false,true,98000,248992811,SORTED
QuickSort,false,true,98500,251503837,SORTED
QuickSort,false,true,99000,254027201,SORTED
QuickSort,false,true,99500,256562609,SORTED
QuickSort,false,true,100000,259111725,SORTED
