Algorithm, Stable, Sorted, Size, Complexity, DegreeSorted
QuickSort,false,true,500,40498,UNSORTED
QuickSort,false,true,1000,103501,UNSORTED
QuickSort,false,true,1500,179111,UNSORTED
QuickSort,false,true,2000,267283,UNSORTED
QuickSort,false,true,2500,368196,UNSORTED
QuickSort,false,true,3000,481652,UNSORTED
QuickSort,false,true,3500,607642,UNSORTED
QuickSort,false,true,4000,746168,UNSORTED
QuickSort,false,true,4500,897374,UNSORTED
QuickSort,false,true,5000,1061310,UNSORTED
QuickSort,false,true,5500,1238152,UNSORTED
QuickSort,false,true,6000,1427267,UNSORTED
QuickSort,false,true,6500,1628950,UNSORTED
QuickSort,false,true,7000,1843088,UNSORTED
QuickSort,false,true,7500,2069989,UNSORTED
QuickSort,false,true,8000,2309381,UNSORTED
QuickSort,false,true,8500,2561319,UNSORTED
QuickSort,false,true,9000,2826074,UNSORTED
QuickSort,false,true,9500,3103664,UNSORTED
QuickSort,false,true,10000,3393831,UNSORTED
QuickSort,false,true,10500,3696840,UNSORTED
QuickSort,false,true,11000,4012712,UNSORTED
QuickSort,false,true,11500,4340882,UNSORTED
QuickSort,false,true,12000,4681391,UNSORTED
QuickSort,false,true,12500,5034286,UNSORTED
QuickSort,false,true,13000,5399877,UNSORTED
QuickSort,false,true,13500,5778253,UNSORTED
QuickSort,false,true,14000,6168827,UNSORTED
QuickSort,false,true,14500,6571756,UNSORTED
QuickSort,false,true,15000,6987734,UNSORTED
QuickSort,false,true,15500,7415757,UNSORTED
QuickSort,false,true,16000,7856656,UNSORTED
QuickSort,false,true,16500,8309717,UNSORTED
QuickSort,false,true,17000,8775686,UNSORTED
QuickSort,false,true,17500,9254329,UNSORTED
QuickSort,false,true,18000,9745868,UNSORTED
QuickSort,false,true,18500,10249852,UNSORTED
QuickSort,false,true,19000,10767203,UNSORTED
QuickSort,false,true,19500,11297152,UNSORTED
QuickSort,false,true,20000,11839612,UNSORTED
QuickSort,false,true,20500,12394490,UNSORTED
QuickSort,false,true,21000,12962317,UNSORTED
QuickSort,false,true,21500,13543410,UNSORTED
QuickSort,false,true,22000,14137275,UNSORTED
QuickSort,false,true,22500,14743328,UNSORTED
QuickSort,false,true,23000,15361792,UNSORTED
QuickSort,false,true,23500,15992437,UNSORTED
QuickSort,false,true,24000,16635178,UNSORTED
QuickSort,false,true,24500,17290307,UNSORTED
QuickSort,false,true,25000,17958116,UNSORTED
QuickSort,false,true,25500,18638551,UNSORTED
QuickSort,false,true,26000,19331808,UNSORTED
QuickSort,false,true,26500,20038000,UNSORTED
QuickSort,false,true,27000,20756998,UNSORTED
QuickSort,false,true,27500,21488411,UNSORTED
QuickSort,false,true,28000,22231785,UNSORTED
QuickSort,false,true,28500,22987237,UNSORTED
QuickSort,false,true,29000,23755329,UNSORTED
QuickSort,false,true,29500,24536264,UNSORTED
QuickSort,false,true,30000,25330363,UNSORTED
QuickSort,false,true,30500,26136142,UNSORTED
QuickSort,false,true,31000,26954372,UNSORTED
QuickSort,false,true,31500,27785510,UNSORTED
QuickSort,false,true,32000,28629457,UNSORTED
QuickSort,false,true,32500,29485143,UNSORTED
QuickSort,false,true,33000,30353565,UNSORTED
QuickSort,false,true,33500,31235457,UNSORTED
QuickSort,false,true,34000,32129844,UNSORTED
QuickSort,false,true,34500,33036790,UNSORTED
QuickSort,false,true,35000,33956073,UNSORTED
QuickSort,false,true,35500,34889125,UNSORTED
QuickSort,false,true,36000,35834444,UNSORTED
QuickSort,false,true,36500,36792064,UNSORTED
QuickSort,false,true,37000,37762236,UNSORTED
QuickSort,false,true,37500,38745872,UNSORTED
QuickSort,false,true,38000,39742819,UNSORTED
QuickSort,false,true,38500,40752641,UNSORTED
QuickSort,false,true,39000,41774864,UNSORTED
QuickSort,false,true,39500,42809410,UNSORTED
QuickSort,false,true,40000,43856691,UNSORTED
QuickSort,false,true,40500,44916488,UNSORTED
QuickSort,false,true,41000,45988821,UNSORTED
QuickSort,false,true,41500,47074209,UNSORTED
QuickSort,false,true,42000,48172620,UNSORTED
QuickSort,false,true,42500,49283909,UNSORTED
QuickSort,false,true,43000,50408128,UNSORTED
QuickSort,false,true,43500,51545436,UNSORTED
QuickSort,false,true,44000,52695123,UNSORTED
QuickSort,false,true,44500,53857210,UNSORTED
QuickSort,false,true,45000,55031725,UNSORTED
QuickSort,false,true,45500,56218440,UNSORTED
QuickSort,false,true,46000,57417320,UNSORTED
QuickSort,false,true,46500,58628493,UNSORTED
QuickSort,false,true,47000,59852168,UNSORTED
QuickSort,false,true,47500,61088008,UNSORTED
QuickSort,false,true,48000,62335904,UNSORTED
QuickSort,false,true,48500,63596113,UNSORTED
QuickSort,false,true,49000,64868582,UNSORTED
QuickSort,false,true,49500,66153561,UNSORTED
QuickSort,false,true,50000,67451352,UNSORTED
QuickSort,false,true,50500,68762072,UNSORTED
QuickSort,false,true,51000,70085555,UNSORTED
QuickSort,false,true,51500,71421777,UNSORTED
QuickSort,false,true,52000,72770849,UNSORTED
QuickSort,false,true,52500,74132652,UNSORTED
QuickSort,false,true,53000,75507033,UNSORTED
QuickSort,false,true,53500,76894087,UNSORTED
QuickSort,false,true,54000,78293932,UNSORTED
QuickSort,false,true,54500,79706437,UNSORTED
QuickSort,false,true,55000,81130962,UNSORTED
QuickSort,false,true,55500,82567617,UNSORTED
QuickSort,false,true,56000,84016336,UNSORTED
QuickSort,false,true,56500,85477024,UNSORTED
QuickSort,false,true,57000,86949712,UNSORTED
QuickSort,false,true,57500,88434794,UNSORTED
QuickSort,false,true,58000,89933143,UNSORTED
QuickSort,false,true,58500,91444580,UNSORTED
QuickSort,false,true,59000,92968801,UNSORTED
QuickSort,false,true,59500,94505799,UNSORTED
QuickSort,false,true,60000,96056018,UNSORTED
QuickSort,false,true,60500,97618374,UNSORTED
QuickSort,false,true,61000,99192217,UNSORTED
QuickSort,false,true,61500,100777659,UNSORTED
QuickSort,false,true,62000,102376696,UNSORTED
QuickSort,false,true,62500,103989202,UNSORTED
QuickSort,false,true,63000,105614195,UNSORTED
QuickSort,false,true,63500,107249735,UNSORTED
QuickSort,false,true,64000,108899849,UNSORTED
QuickSort,false,true,64500,110560631,UNSORTED
QuickSort,false,true,65000,112233932,UNSORTED
QuickSort,false,true,65500,113920383,UNSORTED
QuickSort,false,true,66000,115619290,UNSORTED
QuickSort,false,true,66500,117330440,UNSORTED
QuickSort,false,true,67000,119056262,UNSORTED
QuickSort,false,true,67500,120793043,UNSORTED
QuickSort,false,true,68000,122544136,UNSORTED
QuickSort,false,true,68500,124308558,UNSORTED
QuickSort,false,true,69000,126084338,UNSORTED
QuickSort,false,true,69500,127872023,UNSORTED
QuickSort,false,true,70000,129673381,UNSORTED
QuickSort,false,true,70500,131488629,UNSORTED
QuickSort,false,true,71000,133317447,UNSORTED
QuickSort,false,true,71500,135158340,UNSORTED
QuickSort,false,true,72000,137011573,UNSORTED
QuickSort,false,true,72500,138876927,UNSORTED
QuickSort,false,true,73000,140754389,UNSORTED
QuickSort,false,true,73500,142644229,UNSORTED
QuickSort,false,true,74000,144546842,UNSORTED
QuickSort,false,true,74500,146462638,UNSORTED
QuickSort,false,true,75000,148391466,UNSORTED
QuickSort,false,true,75500,150333726,UNSORTED
QuickSort,false,true,76000,152289559,UNSORTED
QuickSort,false,true,76500,154258414,UNSORTED
QuickSort,false,true,77000,156239757,UNSORTED
QuickSort,false,true,77500,158233980,UNSORTED
QuickSort,false,true,78000,160240461,UNSORTED
QuickSort,false,true,78500,162259320,UNSORTED
QuickSort,false,true,79000,164290780,UNSORTED
QuickSort,false,true,79500,166334593,UNSORTED
QuickSort,false,true,80000,168391225,UNSORTED
QuickSort,false,true,80500,170460320,UNSORTED
QuickSort,false,true,81000,172541922,UNSORTED
QuickSort,false,true,81500,174636127,UNSORTED
QuickSort,false,true,82000,176742949,UNSORTED
QuickSort,false,true,82500,178862769,UNSORTED
QuickSort,false,true,83000,180995157,UNSORTED
QuickSort,false,true,83500,183140552,UNSORTED
QuickSort,false,true,84000,185299301,UNSORTED
QuickSort,false,true,84500,187470959,UNSORTED
QuickSort,false,true,85000,189655754,UNSORTED
QuickSort,false,true,85500,191853645,UNSORTED
QuickSort,false,true,86000,194064443,UNSORTED
QuickSort,false,true,86500,196288599,UNSORTED
QuickSort,false,true,87000,198525601,UNSORTED
QuickSort,false,true,87500,200775075,UNSORTED
QuickSort,false,true,88000,203037132,UNSORTED
QuickSort,false,true,88500,205311374,UNSORTED
QuickSort,false,true,89000,207597555,UNSORTED
QuickSort,false,true,89500,209896322,UNSORTED
QuickSort,false,true,90000,212207777,UNSORTED
QuickSort,false,true,90500,214531203,UNSORTED
QuickSort,false,true,91000,216866447,UNSORTED
QuickSort,false,true,91500,219214198,UNSORTED
QuickSort,false,true,92000,221574408,UNSORTED
QuickSort,false,true,92500,223946948,UNSORTED
QuickSort,false,true,93000,226331602,UNSORTED
QuickSort,false,true,93500,228728220,UNSORTED
QuickSort,false,true,94000,231137403,UNSORTED
QuickSort,false,true,94500,233558732,UNSORTED
QuickSort,false,true,95000,235992168,UNSORTED
QuickSort,false,true,95500,238438515,UNSORTED
QuickSort,false,true,96000,240897239,UNSORTED
QuickSort,false,true,96500,243367895,UNSORTED
QuickSort,false,true,97000,245850630,UNSORTED
QuickSort,false,true,97500,248345894,UNSORTED
QuickSort,false,true,98000,250853733,UNSORTED
QuickSort,false,true,98500,253373901,UNSORTED
QuickSort,false,true,99000,255906412,UNSORTED
QuickSort,false,true,99500,258451799,UNSORTED
QuickSort,false,true,100000,261010292,UNSORTED
